Tanggal,Jumlah_penerbangan,Jumlah_penumpang,Jumlah_kargo
12/2/2021,98,12417,49905
1/26/2022,66,8642,26829
2/16/2022,54,5418,25094
2/17/2022,56,5982,34707
2/25/2022,73,10614,17869
3/6/2022,73,8253,27459
3/7/2022,61,7962,11343
3/8/2022,53,6431,21503
3/9/2022,64,8805,29686
3/10/2022,67,9240,27864
3/11/2022,69,9945,30900
3/12/2022,61,9013,23708
3/13/2022,73,8996,26031
3/14/2022,65,8212,22489
3/15/2022,70,8799,24820
3/16/2022,71,10004,25493
3/17/2022,73,10283,32582
3/18/2022,94,11421,43244
3/19/2022,96,11172,28746
3/20/2022,105,11685,17633
3/21/2022,85,11310,9968
3/22/2022,76,10984,26258
3/23/2022,76,11768,29093
3/24/2022,84,12248,25938
3/25/2022,91,12985,27377
3/26/2022,83,10957,29555
3/27/2022,92,10467,23988
3/28/2022,79,10560,16054
3/29/2022,72,8744,24540
3/30/2022,77,8620,37270
3/31/2022,71,7559,31701
4/1/2022,75,7745,35957
4/2/2022,61,6501,17891
4/3/2022,66,6096,23032
4/4/2022,56,5875,11128
4/5/2022,48,5535,20671
4/6/2022,51,6363,29989
4/7/2022,55,7346,30781
4/8/2022,58,7642,34858
4/9/2022,54,6664,30025
4/10/2022,63,7018,22549
4/11/2022,56,6252,16995
4/12/2022,49,6471,24339
4/13/2022,58,8467,27407
4/14/2022,67,10339,28271
4/15/2022,72,10053,27792
4/16/2022,56,5699,20740
4/17/2022,76,6602,21001
4/18/2022,74,6652,11901
4/19/2022,54,5552,28303
4/20/2022,61,6792,33693
4/21/2022,60,7206,31663
4/22/2022,66,7569,31972
4/23/2022,60,6612,35232
4/24/2022,70,7851,30749
4/25/2022,62,6745,15447
4/26/2022,62,7575,31840
4/27/2022,79,11644,43907
4/28/2022,94,15748,37799
4/29/2022,105,17691,36434
4/30/2022,98,16709,22753
5/1/2022,111,18594,22296
5/2/2022,107,17964,10348
5/3/2022,102,16085,3744
5/4/2022,99,14987,6941
5/5/2022,101,12439,9106
5/6/2022,108,11236,17836
5/7/2022,106,10222,18532
5/8/2022,118,12762,22392
5/9/2022,107,9841,14928
5/10/2022,97,9338,31165
5/11/2022,96,10730,30014
5/12/2022,83,11293,27336
5/13/2022,97,14786,26086
5/14/2022,86,13541,30958
5/15/2022,85,10603,19546
5/16/2022,102,11036,9836
5/17/2022,84,10390,12952
5/18/2022,74,10707,20442
5/19/2022,75,10290,27606
5/20/2022,89,12280,26211
5/21/2022,77,9877,26858
5/22/2022,98,11701,27271
5/23/2022,84,12329,11406
5/24/2022,70,10600,19001
