Tanggal,Jumlah_penerbangan,Jumlah_penumpang,Jumlah_kargo
12/2/2021,100,7788,57568
1/26/2022,65,7571,56640
2/16/2022,53,5163,50899
2/17/2022,56,4755,59636
2/25/2022,76,6419,35448
3/6/2022,74,9670,46019
3/7/2022,60,7649,30397
3/8/2022,55,6235,76460
3/9/2022,62,7197,51818
3/10/2022,65,7083,8167
3/11/2022,73,8132,50211
3/12/2022,61,8674,54346
3/13/2022,75,11127,39648
3/14/2022,66,9229,20149
3/15/2022,68,8333,64254
3/16/2022,70,7635,68685
3/17/2022,71,7716,52105
3/18/2022,89,9890,46632
3/19/2022,93,9564,41147
3/20/2022,110,13373,35174
3/21/2022,95,11012,26648
3/22/2022,77,10602,72962
3/23/2022,76,10817,53466
3/24/2022,77,10890,43397
3/25/2022,95,13404,35365
3/26/2022,83,12210,37524
3/27/2022,95,14421,37808
3/28/2022,78,12744,21995
3/29/2022,74,11113,61099
3/30/2022,77,11037,50035
3/31/2022,68,10774,44552
4/1/2022,75,10827,34884
4/2/2022,61,8094,36300
4/3/2022,67,8959,27966
4/4/2022,56,6621,22488
4/5/2022,48,5456,65133
4/6/2022,51,5272,68539
4/7/2022,54,4869,53408
4/8/2022,58,6007,50332
4/9/2022,54,6250,38683
4/10/2022,61,8877,42291
4/11/2022,59,7271,30509
4/12/2022,48,6119,58795
4/13/2022,59,5752,73154
4/14/2022,66,6717,53534
4/15/2022,71,6488,53032
4/16/2022,58,6751,36638
4/17/2022,77,12700,30170
4/18/2022,75,10855,27273
4/19/2022,54,7181,58018
4/20/2022,61,7414,69146
4/21/2022,57,5864,44745
4/22/2022,67,7385,58488
4/23/2022,62,6997,44910
4/24/2022,69,8827,33214
4/25/2022,63,6946,39919
4/26/2022,63,7548,64573
4/27/2022,78,7812,60190
4/28/2022,94,7877,49219
4/29/2022,106,9348,53818
4/30/2022,98,8605,30403
5/1/2022,109,8213,21024
5/2/2022,104,6553,14714
5/3/2022,102,9678,27319
5/4/2022,97,13942,23438
5/5/2022,101,17235,22282
5/6/2022,114,19239,44208
5/7/2022,111,18135,35537
5/8/2022,116,19461,26191
5/9/2022,111,18278,16279
5/10/2022,92,16122,43495
5/11/2022,96,14288,39895
5/12/2022,83,10022,36468
5/13/2022,94,10286,42911
5/14/2022,91,10096,28660
5/15/2022,86,13085,30637
5/16/2022,101,16945,20673
5/17/2022,86,13078,70612
5/18/2022,75,9774,59814
5/19/2022,74,9515,31343
5/20/2022,86,11641,41470
5/21/2022,77,10569,33249
5/22/2022,97,13455,32647
5/23/2022,82,10316,33399
5/24/2022,95,15246,28694
5/25/2022,100,15858,27796
5/26/2022,94,10708,42992
5/27/2022,94,10708,42992
5/28/2022,79,13116,35601
5/29/2022,103,17173,42988
5/30/2022,92,14523,26294
5/31/2022,77,11189,44124
6/1/2022,84,11854,34503
6/2/2022,72,8829,29554
6/3/2022,86,10218,35031
6/4/2022,79,11816,37780
6/5/2022,88,14810,25232
6/6/2022,79,11309,24817
6/7/2022,71,8843,53368
6/8/2022,78,8260,36988
6/9/2022,76,7985,25121
6/10/2022,90,11102,30602
6/11/2022,81,11310,35192
6/12/2022,89,14498,26619
6/16/2022,86,10154,29437
6/17/2022,89,13030,32973
6/18/2022,86,11411,57112
6/19/2022,87,14002,29292
6/20/2022,92,13169,25321
6/21/2022,85,11601,41397
6/22/2022,90,11727,29870
6/23/2022,94,11958,30589
6/24/2022,98,13891,32192
6/25/2022,92,13749,46738
6/26/2022,99,16252,35300
6/27/2022,92,14626,24335
6/28/2022,86,13505,37688
6/29/2022,92,13088,36368
6/30/2022,92,14076,25855
7/1/2022,95,14795,34472
7/2/2022,92,14625,30740
7/3/2022,96,16701,46254
7/4/2022,97,15317,19199
7/5/2022,90,14756,40327
7/7/2022,97,14390,28886
7/8/2022,93,15342,53922
7/9/2022,91,13748,41257
7/10/2022,96,15432,50175
7/11/2022,96,13120,13706
7/12/2022,84,11251,34506
7/13/2022,92,10663,32926
7/14/2022,93,11649,31022
7/15/2022,101,14344,38529
7/16/2022,97,15055,27887
7/17/2022,101,16319,32634
7/18/2022,97,14188,15803
7/19/2022,79,10210,38697
7/20/2022,86,10359,32748
7/21/2022,91,10684,27859
7/22/2022,99,12193,38057
7/23/2022,92,11969,33751
7/24/2022,99,15354,29056
7/25/2022,92,12998,17896
7/26/2022,83,10600,34159
7/27/2022,82,9936,34286
7/28/2022,87,9785,28028
7/29/2022,89,11240,43418
7/30/2022,89,12676,37723
7/31/2022,99,15332,25263
8/1/2022,87,12403,23976
8/2/2022,72,9155,41424
8/3/2022,77,9140,30671
8/4/2022,79,8802,29330
8/5/2022,91,11704,35334
8/6/2022,81,10585,36812
8/7/2022,91,13993,19609
8/8/2022,84,11651,27006
8/9/2022,84,9813,44900
8/10/2022,79,9932,43502
8/11/2022,79,9300,30915
8/12/2022,91,10818,48235
8/13/2022,87,11082,38476
8/14/2022,99,14005,51710
8/15/2022,85,10824,26158
8/16/2022,75,9602,35912
8/17/2022,93,12531,29711
8/18/2022,76,9779,31629
8/19/2022,89,10785,43771
8/20/2022,83,12572,30155
8/21/2022,109,17661,30425
8/22/2022,94,12679,18283
8/23/2022,82,10046,39236
8/24/2022,91,9897,27829
8/25/2022,89,11314,30462
8/26/2022,105,13502,37681
8/27/2022,92,11907,31126
8/28/2022,108,16926,28217
8/29/2022,100,14505,27908
8/30/2022,90,10826,34937
8/31/2022,85,11090,35878
9/1/2022,91,9435,26062
9/2/2022,103,10989,31034
9/3/2022,87,10857,27004
9/4/2022,106,15046,24214
9/5/2022,93,11323,24404
9/6/2022,68,7820,33551
9/7/2022,74,8124,29544
9/8/2022,84,7856,31785
9/9/2022,93,9801,25682
9/10/2022,81,9934,36853
9/11/2022,98,13834,27998
9/12/2022,85,11067,31099
9/13/2022,69,7619,35122
9/14/2022,81,8546,27865
9/15/2022,84,8623,29861
9/16/2022,107,10199,39718
9/17/2022,83,9479,36582
9/18/2022,100,13851,24191
9/19/2022,96,11414,26122
9/20/2022,78,9242,27154
9/21/2022,95,10569,32925
9/22/2022,95,8961,27922
9/23/2022,106,11893,43291
9/24/2022,82,11482,29159
9/25/2022,102,15149,25243
9/26/2022,94,11418,27268
9/27/2022,74,9032,29840
9/28/2022,84,9897,36518
9/29/2022,84,9576,33356
9/30/2022,102,13166,48563
10/1/2022,85,11652,25132
10/2/2022,104,15576,21890
10/3/2022,86,11382,23340
10/4/2022,75,8246,30718
10/5/2022,86,8697,31107
10/6/2022,91,9315,32377
10/7/2022,113,12319,29004
10/8/2022,91,13178,29361
10/9/2022,110,18326,27995
10/10/2022,97,14430,17648
10/11/2022,79,9477,36949
10/12/2022,86,9835,40763
10/13/2022,89,8877,29670
10/14/2022,106,11889,38558
10/15/2022,94,11769,34154
10/16/2022,111,17064,25334
10/17/2022,92,12249,27552
10/18/2022,79,10006,33166
10/19/2022,94,10476,29450
10/20/2022,89,9119,27071
10/21/2022,110,11494,39461
10/22/2022,91,11343,28899
10/23/2022,116,17323,24709
10/24/2022,87,11188,27980
10/25/2022,73,7832,34154
10/26/2022,93,9302,34659
10/27/2022,89,8927,22583
10/28/2022,110,12216,42110
10/29/2022,89,10841,25189
10/30/2022,101,15194,24327
10/31/2022,87,11268,20119
11/1/2022,82,8019,37308
11/2/2022,95,8608,45880
11/3/2022,80,8722,28744
11/4/2022,102,10848,52873
11/5/2022,93,10935,26645
11/6/2022,118,15425,31285
11/7/2022,91,10530,31665
11/8/2022,80,7376,31725
11/9/2022,98,8630,39098
11/10/2022,103,9006,32182
11/11/2022,113,10304,45195
11/12/2022,116,11448,38318
11/13/2022,99,12755,24945
11/14/2022,87,9699,18280
11/15/2022,81,9957,39570
11/16/2022,71,8922,29164
11/17/2022,99,11345,29643
11/18/2022,121,14395,45402
11/19/2022,84,9522,35024
11/20/2022,110,14358,39151
11/21/2022,98,10868,28409
11/22/2022,87,9155,39446
11/23/2022,97,10498,39003
11/24/2022,99,10046,33276
11/25/2022,106,14375,19512
11/26/2022,94,14975,33886
11/27/2022,111,18553,39370
11/28/2022,99,14650,28152
11/29/2022,77,9765,29149
11/30/2022,90,11559,50553
12/1/2022,103,10772,41030
12/2/2022,104,12041,36716
12/3/2022,92,12537,38973
12/4/2022,111,17203,42841
12/5/2022,95,11910,28001
12/6/2022,83,8757,32459
12/7/2022,87,10405,39682
12/8/2022,95,11150,33731
12/9/2022,100,13421,42677
12/10/2022,99,13847,34047
12/11/2022,108,16330,44922
12/12/2022,99,12421,24020
12/13/2022,85,9325,53110
12/14/2022,103,11469,41888
12/15/2022,103,11392,34305
12/16/2022,113,13058,45592
12/17/2022,110,14780,37374
12/18/2022,117,17834,39724
12/19/2022,116,13934,27332
12/20/2022,95,12323,34338
12/21/2022,110,15183,35052
12/22/2022,116,13840,39123
12/23/2022,120,15341,51413
12/24/2022,115,13949,44055
12/25/2022,116,12793,32281
12/26/2022,122,13451,22646
12/27/2022,102,11883,34043
12/28/2022,117,12982,38655
12/29/2022,110,12880,29330
12/30/2022,121,15235,41632
12/31/2022,91,12735,23511
1/1/2023,122,19900,17417
1/2/2023,135,22146,17756
1/3/2023,115,18813,33664
1/4/2023,110,16433,31648
1/5/2023,111,15198,26426
1/6/2023,112,14562,32565
1/7/2023,106,15967,32858
1/8/2023,126,19253,36494
1/9/2023,107,14891,23714
1/10/2023,86,9850,32230
1/11/2023,91,9510,31795
1/12/2023,91,9118,39191
1/13/2023,108,10152,42952
1/14/2023,96,10827,28950
1/18/2023,88,10069,34409
1/19/2023,86,9645,30313
1/20/2023,113,11920,35550
1/21/2023,99,10645,27178
1/22/2023,93,12482,25986
1/23/2023,105,16652,25055
1/24/2023,85,11625,27872
1/25/2023,89,9183,39966
1/27/2023,102,12226,37551
1/28/2023,91,12495,26234
1/29/2023,113,16985,29266
1/30/2023,90,12003,22020
1/31/2023,72,9298,30408
2/1/2023,84,8155,37558
2/2/2023,83,7576,27181
2/3/2023,98,9345,38567
2/4/2023,80,10246,31191
2/5/2023,101,14452,33716
2/6/2023,87,10535,23161
2/7/2023,78,8063,28901
2/8/2023,88,8398,37936
2/9/2023,89,9053,26517
2/10/2023,104,11500,38031
2/11/2023,90,12678,37151
2/12/2023,103,16205,35536
2/13/2023,90,11275,25405
2/14/2023,76,8014,23391
2/15/2023,88,9887,39580
2/16/2023,96,9196,26382
2/17/2023,102,12535,34732
2/18/2023,89,11939,24365
2/19/2023,112,17246,34393
2/20/2023,97,12602,20659
2/21/2023,83,9512,26203
2/22/2023,90,9684,31622
2/23/2023,100,10838,26951
2/24/2023,109,12973,45975
2/25/2023,96,12891,25361
2/26/2023,117,17545,36647
2/27/2023,105,13555,23810
2/28/2023,81,9895,26514
3/1/2023,91,9392,33186
3/2/2023,97,8553,26037
3/3/2023,106,11755,47420
3/4/2023,96,14025,30181
3/5/2023,114,17702,40189
3/6/2023,94,12605,21132
3/7/2023,80,8892,27411
3/8/2023,87,10119,37804
3/9/2023,90,10804,29516
3/10/2023,108,13590,29578
3/11/2023,91,13292,22701
3/12/2023,107,15640,49269
3/13/2023,100,12268,14519
