Tanggal,Jumlah_penerbangan,Jumlah_penumpang,Jumlah_kargo
2/16/2022,1,159,1084
2/17/2022,3,162,23230
2/25/2022,2,237,7142
3/6/2022,4,192,711
3/7/2022,3,200,5879
3/8/2022,2,211,528
3/9/2022,3,266,282
3/10/2022,2,242,13553
3/11/2022,6,535,5589
3/12/2022,4,438,0
3/13/2022,4,461,1790
3/14/2022,5,737,0
3/15/2022,3,405,2146
3/16/2022,3,862,974
3/17/2022,2,310,8772
3/18/2022,4,593,3357
3/19/2022,7,1043,2474
3/20/2022,5,786,1654
3/21/2022,6,883,2449
3/22/2022,3,497,3549
3/23/2022,4,919,1730
3/24/2022,3,554,4790
3/25/2022,9,1148,8908
3/26/2022,4,971,998
3/27/2022,7,938,3019
3/28/2022,7,1056,1432
3/29/2022,8,1112,2983
3/30/2022,7,1197,929
3/31/2022,8,1319,4285
4/1/2022,10,1891,1620
4/2/2022,6,1139,1211
4/3/2022,10,1837,3348
4/4/2022,7,1367,78
4/5/2022,8,1764,13874
4/6/2022,7,1454,1798
4/7/2022,8,1883,2037
4/8/2022,13,2667,4617
4/9/2022,6,1630,0
4/10/2022,11,2503,5016
4/11/2022,10,2002,119
4/12/2022,10,2393,3531
4/13/2022,8,1860,3707
4/14/2022,10,2534,2055
4/15/2022,12,2782,5729
4/16/2022,10,2013,5304
4/17/2022,13,2459,7870
4/18/2022,10,2118,2803
4/19/2022,12,2515,7050
4/20/2022,9,1855,2155
4/21/2022,10,2494,3756
4/22/2022,14,3043,11158
4/23/2022,9,2047,15
4/24/2022,12,2695,14322
4/25/2022,11,2262,1072
4/26/2022,15,3207,2334
4/27/2022,11,2243,5506
4/28/2022,11,2881,1141
4/29/2022,14,2776,20187
4/30/2022,11,2398,3702
5/1/2022,16,3919,5743
5/2/2022,18,4144,0
5/3/2022,20,4629,3945
5/4/2022,13,2743,1258
5/5/2022,19,4279,11318
5/6/2022,23,3944,18861
5/7/2022,17,3354,0
5/8/2022,19,3856,4602
5/9/2022,27,4190,3796
5/10/2022,20,4523,3193
5/11/2022,13,2809,5025
5/12/2022,19,4339,2239
5/13/2022,23,4213,7764
5/14/2022,19,3544,1955
5/15/2022,19,3982,15465
5/16/2022,22,3978,3238
5/17/2022,21,4830,7524
5/18/2022,15,2966,39840
5/19/2022,19,4609,15084
5/20/2022,23,4339,12508
5/21/2022,21,4017,5497
5/22/2022,15,3782,6284
5/23/2022,25,5166,2926
5/24/2022,21,4959,8816
5/25/2022,15,3219,27292
5/26/2022,21,4105,32518
5/27/2022,23,4766,10918
5/28/2022,21,4169,6701
5/29/2022,17,4128,11078
5/30/2022,25,4872,2366
5/31/2022,20,4425,12020
6/1/2022,24,4741,22501
6/2/2022,25,6055,7988
6/3/2022,30,5754,16927
6/4/2022,24,5551,8939
6/5/2022,24,5849,13017
6/6/2022,31,6672,2911
6/7/2022,26,5831,18633
6/8/2022,24,4823,8844
6/9/2022,30,6184,8670
6/10/2022,29,6087,13286
6/11/2022,28,5828,6496
6/12/2022,22,5097,10085
6/16/2022,30,6700,12459
6/17/2022,38,7204,20049
6/18/2022,27,5743,12042
6/19/2022,31,6825,14644
6/20/2022,42,8150,6625
6/21/2022,34,6906,7713
6/22/2022,33,5971,9054
6/23/2022,38,7494,8488
6/24/2022,30,7961,11169
6/25/2022,36,7193,3747
6/26/2022,33,7000,10178
6/27/2022,39,7938,7371
6/28/2022,38,7900,9136
6/29/2022,36,6873,8009
6/30/2022,38,8258,9519
7/1/2022,46,8744,16032
7/2/2022,43,8192,7467
7/3/2022,42,8206,7745
7/4/2022,43,8674,14260
7/5/2022,40,8363,4512
7/7/2022,46,8375,7535
7/8/2022,49,9047,8820
7/9/2022,43,8105,11033
7/10/2022,44,8967,10224
7/11/2022,42,8648,13448
7/12/2022,45,8395,8819
7/13/2022,45,8400,15536
7/14/2022,47,8423,6355
7/15/2022,47,8905,14274
7/16/2022,41,8177,13985
7/17/2022,47,8846,13136
7/18/2022,47,8968,6313
7/19/2022,42,8365,7047
7/20/2022,43,8313,6889
7/21/2022,47,8994,11115
7/22/2022,45,8990,7913
7/23/2022,43,8633,15571
7/24/2022,44,8649,14499
7/25/2022,47,8776,20957
7/26/2022,43,8364,8660
7/27/2022,44,8219,15108
7/28/2022,47,9669,7644
7/29/2022,49,9157,22306
7/30/2022,45,9039,10002
7/31/2022,46,8664,21626
8/1/2022,51,10205,5845
8/2/2022,42,8555,13154
8/3/2022,48,9146,5814
8/4/2022,46,9971,17339
8/5/2022,51,10080,14210
8/6/2022,52,10439,31340
8/7/2022,49,9140,22778
8/8/2022,48,9450,9818
8/9/2022,48,9016,16272
8/10/2022,48,9452,8618
8/11/2022,48,9395,17647
8/12/2022,51,9682,7356
8/13/2022,46,9527,19377
8/14/2022,52,9784,18724
8/15/2022,50,9409,12641
8/16/2022,48,9074,13326
8/17/2022,49,8898,11823
8/18/2022,46,9223,17902
8/19/2022,51,3802,16041
8/20/2022,47,9399,8935
8/21/2022,48,8800,18313
8/22/2022,51,9282,12806
8/23/2022,53,8958,11362
8/24/2022,51,9251,7936
8/25/2022,44,8731,9863
8/26/2022,58,10564,10995
8/27/2022,47,9031,15174
8/28/2022,50,9769,18545
8/29/2022,52,8773,7605
8/30/2022,51,9372,12865
8/31/2022,47,8841,25673
9/1/2022,48,10614,17949
9/2/2022,56,11126,15807
9/3/2022,47,9695,13485
