Tanggal,Jumlah_penerbangan,Jumlah_penumpang,Jumlah_kargo
2/16/2022,1,61,12812
2/17/2022,2,36,13209
2/25/2022,2,152,17005
3/6/2022,4,123,25167
3/7/2022,3,91,32783
3/8/2022,3,104,11211
3/9/2022,2,101,18476
3/10/2022,2,121,9582
3/11/2022,6,114,18448
3/12/2022,4,175,28466
3/13/2022,3,141,16467
3/14/2022,3,314,16067
3/15/2022,3,268,23408
3/16/2022,3,862,974
3/17/2022,2,202,13945
3/18/2022,3,299,16648
3/19/2022,4,475,5944
3/20/2022,5,508,28129
3/21/2022,6,516,18939
3/22/2022,5,361,30831
3/23/2022,4,541,24614
3/24/2022,2,458,17950
3/25/2022,11,653,21643
3/26/2022,4,909,15844
3/27/2022,6,650,20738
3/28/2022,8,923,15784
3/29/2022,6,729,38990
3/30/2022,8,719,21422
3/31/2022,9,842,29019
4/1/2022,9,897,35082
4/2/2022,7,837,22628
4/3/2022,10,1169,24607
4/4/2022,8,925,15093
4/5/2022,7,1003,50664
4/6/2022,7,681,26744
4/7/2022,9,997,30247
4/8/2022,11,1161,13477
4/9/2022,8,937,39969
4/10/2022,10,1570,39701
4/11/2022,10,1320,14726
4/12/2022,9,1320,28301
4/13/2022,7,976,28240
4/14/2022,11,1574,23604
4/15/2022,10,1569,17126
4/16/2022,11,1680,10309
4/17/2022,11,2085,27041
4/18/2022,10,2195,22935
4/19/2022,12,2126,34752
4/20/2022,8,1599,35654
4/21/2022,10,1894,31184
4/22/2022,14,2390,37265
4/23/2022,10,2016,29269
4/24/2022,10,2011,25870
4/25/2022,12,2584,22325
4/26/2022,14,2381,38868
4/27/2022,11,1812,34885
4/28/2022,14,2347,41835
4/29/2022,10,1815,23155
4/30/2022,12,1972,22417
5/1/2022,14,2618,23428
5/2/2022,19,3154,25067
5/3/2022,21,3593,16352
5/4/2022,13,2361,15276
5/5/2022,20,3228,30147
5/6/2022,20,2864,16440
5/7/2022,19,3285,16668
5/8/2022,17,3100,15423
5/9/2022,21,3676,18631
5/10/2022,25,3406,24908
5/11/2022,14,2509,15598
5/12/2022,18,2911,28486
5/13/2022,22,3071,20688
5/14/2022,22,3644,36610
5/15/2022,15,3009,31650
5/16/2022,24,4278,24298
5/17/2022,20,4233,36352
5/18/2022,16,2846,31944
5/19/2022,20,3885,30049
5/20/2022,18,3292,27404
5/21/2022,25,4583,21653
5/22/2022,16,3155,20758
5/23/2022,22,4573,29704
5/24/2022,17,3095,12286
5/25/2022,21,4969,7550
5/26/2022,22,3796,18102
5/27/2022,22,3796,18102
5/28/2022,22,4486,32461
